Курица «Карри» с рисом	Что такое карри повора этого блюда не знают- неплохая тушеная курица с рисом, карри там точно нет.
Сырники с вишней и сметаной	Жутко сладкие.
Борщ с мраморной говядиной	Вкусный. И мясо качественное
Блинчики с печенью и яйцом	Горький вкус у печени ( .. прожилки видимо не убрали
Бургер Богатырь	Вкусно, ребенку очень понравилось
Большая порция сырников с малиной	Очень вкусный и полезный завтрак
Блинчики с курицей и сметаной 	Вкусные блинчики, постоянно беру
Сырники с малиной и сметаной	Очень вкусные сырники. Спасибо
Паста «Фетучини» с курицей и соусом «Песто»	Полное несоответствие живого блюда и фото . Привезли все холодное жирное , один сплошной жир все в нем плавает . Куски мяса испорченные . Просто ** . В помойку 400 р
Картофельные дольки по-техасски	К сожалению некоторые картофельные дольки были сырые
Клаб-сэндвич	Сэндвич очень вкусный, но присоединяюсь к предыдущим комментариям: добавьте ещё кусочек хлеба Заказываю очень часто, но пока 3 звезды
Крок-Бекон	Не соответствует фото!
Блинчики с вареной сгущенкой	Тесто не внятное, не вкусно. Сгущенки много.
Клаб-сэндвич	Вкусный , часто беру , но последнии два раза пришёл промокший в тряпку
Вок с овощами	Очень невкусное блюдо. Овощи пересолены и перетушены до нельзя, непонятной консистенции.С овощным вок ничего общего совсем.Есть было невозможно.Разочарование…
Клаб-сэндвич	Оч вкусный сендвич. Надеюсь его не уберут
Бургер Богатырь	Невкусно и нет сбалансированности. Котлета сухая, бекон лишний здесь. Соус не чувствуется
Картофельные дольки с сырным соусом	На фото хорошо выглядит, в реальности бледный малосъедобный картофель. Не плохой, не гнилой, просто совершенно невкусный.
Суп Солянка сборная с каперсами	Очень жирная и почти один бульон
Лазанья Болоньезе	Самое худшее, что я лично пробовала во вкусвилле! Отвратительно, сыра, как на картинке не было вообще, только тесто, томатная паста, томаты и немного болгарского перца. Никому не рекомендую
Лагман с говядиной, 320 г	Непосредственно в самом Лагмане находился кусок чёрного пластика!!!! Ужасное качество продукта
Сырники с вишней и сметаной	Все неплохо, но уж очень сладко, и сахар, и вишня в одном многовато.
Суп «Умницы»	Не очень понравился. Курицы три кусочка и два из них с прожилками и хрящами, гадость. А количество лука вообще привело в шок 😃 хорошо он весь сверху плавал, получилось вытащить) макарошки вкусные
Гранола «Ореховая» с персиком и малиной	В этом блюде отлично все! Часто заказываю гранолу, но сегодня привезли без малины. 🤨 кто съел мою малину?)
Лагман с говядиной, 320 г	Говядина очень жесткая
Вок с овощами	Съедобная  часть только лапша, овощи не съедобные На фото выглядит на много лучше
Крок Месье	Жирно
Большая порция сырников с вишней	Хорошие сырники,привезли тёпленькими и это очень порадовало. Но к сожалению один контейнер был поломан из-за чего половина сгущёнки вытекла.
Круассан с лососем и сливочным сыром	Я крайне редко пишу отзывы, если только что то очень вкусное. Но здесь ситуация обратная, хочу предостеречь от плохой покупки, тем более, что продукт достаточно дорогой. Если коротко, то всё портит рыба-каша. И ладно с тем, что круасан примялся и превратился в блинчик, всё портит рыба - сырая квашня и гадость. Да её много, но есть её не возможно, хочется выплюнуть на уровне рефлекса.
Круассан с лососем и сливочным сыром	Очень вкусный! Свежий и начинки много, не пожалели! Спасибо тому, кто собирал мне этот завтрак)))
Картофельная вафля с беконом и яйцом	Совсем невкусно
Соус «Барбекю», 30 гр.	Идеально к стейку
Сок апельсиновый свежевыжатый, 500 мл	Очень вкусный сок! Много витаминчиков:)
Хот-Дог мясной	Непотребно!
Котлета куриная с беби картофелем	Пресная котлета и сухая, ооооочень соленая картошка…
Блинчики с вареной сгущенкой	Не понравились по вкусу, очень сладкая сгущенка, теста блинчиков не чувствуется совсем
Кукуруза гриль с «не мясной» котлетой Hi и соусом	Достаточно вкусно, но как-то мало соуса и кукуруза, конечно, вообще не соответствует изображению 😢
Суп Солянка сборная с каперсами	Не вкусная…
Большая порция блинчиков с курицей и сметаной	Вкусные блинчики)
ПАПА Бургер	Вообще не вкусный бургер, не стоит своих денег
Большая порция сырников с малиной	Воздушные нежные сырники 6 шт, порции вполне хватает на двоих . Так же к ним идёт сметана и сгущёнка .  Привезли тёпленькими , спасибо.
Мама бургер с голубым сыром и вишневым вареньем	Сняла звезду из за того что не хватает сочности этому бургеру и немного теплоты 😂холодный и сыр с плесенью не подтаял даже, а так- не плох на четверочку
Блинчики с творогом	Мало начинки. В одном блине будто и не было её.
Хот-Дог Классический	Привезли немного остывшим, но мне все равно очень понравилось. Сосиска мясная и сверху что-то вроде миндальных чипсов. Сама булочка напоминает бриошь.
Равиоли с сыром пармезан и шпинатом, 245 г	Это десятка ! Начинки много, чистый сыр , зелень , сливочно, упругое тесто . супер
Котлета куриная с беби картофелем	Суховато
Пельмени с курицей и укропом	Случайно заказала (хотела замороженные), но приехали еще теплые, молодой человек оценил) Поэтому еще намеренно буду заказывать
Перепече с курицей и грибами	Мне достался сухой и явно передержанный. Сыр местами даже почернел, края крошатся
Большая порция сырников с вишней	Правильно люди пишут что готовят на прогорклом масле, скушала с женой эти сырники и обоих тошнит и изжога. Как вот так Вкусвил вы испортились?
Вок с говядиной	Лапша что на вид, что на вкус уже была не первой свежести (немного рыхлая). Говядина пересоленная и примерно такого же состояния как макароны. Сочности нет, мясо усохшее. За Свой ценник совершенно не оправданное блюдо.
Вок с курицей	Производитель знает, как выглядит вок? Сухие макароны, мало мяса…. Это просто курица с овощами и макаронами. Разочарована.
Говядина в черносливе с гречкой	Очень вкусно! Говядина мягкая, чернослив и морковь в тему, спасибо 🙏 конечно, рекомендую
Бургер капрезе + картошка с сырным соусом + напиток «Лимонад», 500 мл	Вообще все без соли, даже соус. Котлета в бургере не прожарена. Очень не вкусно.
Суп-крем тыквенный, 320 г	Вкусный суп, будем брать ещё 🥰
Большая порция сырников творожных со сметаной и малиновым вареньем	Привезли в термоупаковке горячим, очень вкусно и сытно
Салат с бужениной	Очень вкусный салат! Качество ресторанного уровня. Всего в меру. Беру второй раз уже (брала бы чаще, но он редко бывает). Мужу тоже зашёл на ура!
Салат куриный BBQ	Вкусный
Омлет с беконом и ветчиной	Мне нравится. Разделяю на две порции, тк за один раз для меня многовато, омлет достаточна сытный.
Бургер куриный «Цезарь»	Привезли холодным!
Курица «Карри» с рисом	Очень сухая курица, и её мало. Один рис.
Клаб-сэндвич	Много хлеба... А так все хорошо
Вареники с картофелем и грибами, 245 г	Вкусные , жаль что слиплись все
Равиоли с сыром пармезан и шпинатом, 245 г	Очень вкусные! Обожаем
Борщ вегетарианский	Борщ очень вкусный ,постный РекомендуюРазогреть в свч и очень вкусный
Вок с курицей	Просто разочарование года от ВкусВилл Полное несоответствие картинки и готового блюда, выглядит как обычная поджарка морковка с луком и чем-то красным, слипшаяся лапша. Как из районной столовки
Салат с бужениной	Вкусно
Бургер с говядиной «Капрезе»	Пресный и безвкусный.
Большая порция сырников творожных со сметаной и малиновым вареньем	очень вкусные сырники ,часто заказываю ,ребёнку нравятся 👌
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Никогда отзывы не оставлял, но суп был вкусный , но после него такая дикая изжога началась что у меня возникают вопросы сколько глюкомата или другой химии туда добавили
Рис с курицей и овощами	Привезли без курицы вообще.А рис недоварен. Разочарованы
Пельмени с говядиной и свининой, 245 г	Вкусные пельмени, очень большие, одной порцией можно наесться
ПАПА Бургер	Бургер понравился больше всего из ассортимента Вкусвилла - котлеты во всех вкусные, в этом коул слоу неожиданно для меня хорошо сочетается, единственное, не вполне понравился горьковатый вкус заправки коул слоу.
Шницель куриный с картофельным пюре, 300 г	На вкус нормально, хотя у шницеля чувствуется привкус масла не лучшего качества. Обидно, что не было огуруов
Салат с лососем, свежими овощами и печеным перцем	Цена немного дороговата за такой салат.
Блинчики с вареной сгущенкой	Ужасные резиновые , даже сложно блинами назвать.
Вок с морепродуктами	Это не вок, это лапша с жареной морковкой и луком! Фото вообще не соответствует! Из морепродуктов вообще непонятно, что туда положили.
Круассан с лососем и сливочным сыром	На вкус сливочное масло, есть не стали, выбросили
Картофельные дольки по-техасски	Бекон и лук не жареные
Суп-пюре с грибами, 320 г	Это просто лучший суп!!!!!!!!!
Суп грибной, 300 г	Супчик пришелся по душе.И грибочки 👌Густоватенький ,наелись.Спасибо
Котлета из щуки (2 шт.) с картофельным пюре	Отличное блюдо! Вкусные и мягкие котлетки и отличное воздушное картофельное пюре. Привезли горячим в термопакете. Буду покупать.
Котлета куриная с беби картофелем	Ничего хуже я не ела, блюдо принесли холодным, котлета воняла не свежим мясом.
Котлета из щуки (1 шт.) с картофельным пюре	Вот только недавно привезли , очень хорошая котлета и пюре . Все свежее , несолёное .
Каша овсяная с бананом и голубикой	Каша если что не из хлопьев а жидкая масса. Ореховая смесь половинки соленого  арахиса и кунжут
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Суп очень вкусный, привезли теплым, все положили, единственное, не советую заказывать, если у вас есть проблемы с пищеварением, лично у меня вызвал сильное вздутие живота
Картофельные дольки по-техасски	Совершенно не вкусная сухая картошка. Странный сметанно-кислый соус, маринованный лук, от запаха которого потом не избавиться весь день и ошметки бекона. Больше не возьму. Не вкусно и не стоит своих денег.
Кесадилья с курицей, 185 г	Ужас невкусно неприятный запах выкинула!!!
Штрудель с вишней и черной смородиной	Тесто никакое, начинка никакая. Даже отдаленно не напоминает штрудель. Попалась косточка вишни, будьте осторожны!
Злаковая каша с ягодами 	Малина с плесенью и на этот раз ягод мало. Обычно в 3 раза больше
Большая порция сырников с малиной	Где сгущенка???
Вареники с картофелем и грибами, 245 г	Отличные вареники, начинки достаточно, тесто вкусное. Приехало горячим, но есть замечания к упаковке: сметана была в термопакете вместе с варениками и свернулась от температуры. Так же в комплекте есть заправка из ломаных чипсов, как это сочетается с нежными варениками? )
Сырники с вишней и сметаной	Сырники не вкусные, плавают в прогорклом масле
Плов по-узбекски с говядиной	Плов ужасный, раньше был намного лучше.Три малюсеньких кусочка мяса. Один рис. И такие деньги стоит.
Пицца «Школьная»	Как в детстве, только лучше!
Блинчики с печенью и яйцом	Привезли 2 небольших блинчика. Вкусно, но маловато яйца и дороговато.
Бургер Богатырь	Отличный бургер!) Котлета очень большая и сочная, не пережаренная. Также в составе есть бекон и соус приятный.
Вок с курицей	2 крошечных кусочка курицы на все блюдо.
Не «мясная» пита в белом	Супер!!!
Суп грибной, 300 г	Не густой. Грибы есть, перловка есть. В продукте не было ни одного кусочка картофеля, мало моркови. Привезли теплым, не горячим.
Хот-Дог Классический	Товарный вид ужасный, по виду как будто сутки на витрине  пролежал.
Круассан с ветчиной и сыром, 160 г	Приехал подгоревший.
Большая порция сырников с вишней	Мягкие, свежие, но очень сладкие, приторные
Суп Куриный, 300 г	Действительно перевареная вермишель (как и писали ранее). Сам бульон неплохой и непересоленый. Количество курицы, в принципе, средне.
Суп-пюре из цветной капусты с сыром	Слишком жидкий для супа-пюре. Если будет густой, тогда будет пятерка. А пока троечка. Хотя был свежий, спасибо!
Борщ вегетарианский	Вообще один вкус томатной пасты. Грустный борщ
Панкейки банановые с клубникой и сгущенным молоком	Раньше были сильно лучше, сейчас это сухие коржики, чайная ложка сгущенки. Клубника и бананы были ок. А вот стружка делает вкус ещё более сухим, пришлось давиться. И так как блюдо находится в разделе горячее не понятно почему в декабре это привозят без специального термо пакета как в другие разы. Короче цена этого как минимум вдвое ниже, возьмите что-то другое.
Деревенский завтрак	Хороший, сытный завтрак, иногда делю даже на 2 части - порция большая.
Куриная грудка запеченная с моцареллой, песто и томатами	Привезли обветренный сухой кусок мясо. Такое ощущение, что блюдо лежало неделю на ветрине. Написал в поддержку, но у ВВ она не работает.
Не «мясная» пита в белом	+ вкусно, сытно- выглядит конечно совершенно не как на картинке, сначала показалось, что у меня просто целая пита ""мяса"". Приподняв эту гору, увидела внизу внутри овощи. Пита с одной стороны немного пропиталась соусом, с другой подсохла и стала трескаться. В целом отличное блюдо, очень вкусное и супер сытное, но думаю его лучше есть на месте, сразу после готовки и для доставки за 2 часа оно не очень подходит.
Картофельные дольки с сырным соусом	Вкусно,но не очень зажаренные
Сырники с вишней и сметаной	В целом вкусно, но слишком сладкие, даже приторные, за это снизила оценку. Посоветовала бы пересмотреть рецептуру и в саму массу для сырника не класть столько сахара, а то в сочетании с сладким вареньем - это получается уже перебор.
Салат с северной креветкой и авокадо	Вкусно, ингредиенты хорошие и качественные. Дороговато, конечно, но со скидкой «любимый продукт» приемлемо
Большая порция сырников с вишней	Сырники отличные!
Вок с курицей	Вкусный вок, но было бы поменьше соли
Картофельные дольки по-техасски	Не понравилось. Картошка не хрустящая, отсыревшая, но при этом сухая, возможно это блюдо не для доставки, не успевает доехать горячим и хрустящим, хотя привезли быстро. Огурцов, бекона и лука было много, но как-будто всё по отдельности, соус добавила барбекю, показалось он больше подходит, чем тот, который идет в комплекте.
Вок с морепродуктами	Это не вок, а одно название!) Переваренные макароны, мелко тёртая морковь, лук, пережаренные на прогорклом масле, 1 мидия и шкурка от креветки- это все морепродукты!)
ПАПА Бургер	Ещё раз заказывать не буду. Капуста перебивает все остальные ингредиенты, весь соус впитался в булку, сыр засохший.
Бургер с говядиной BBQ	Повелся на оценку 4.9, либо люди получают супер вкусный бургер и им повезло, либо люди никогда не пробовали вкусную еду. Котлета приготовлена по ощущениям позавчера, булка - сухарь, соуса нет от слова совсем, помидор черный. Выкинул это чудо
Каша овсяная с бананом и голубикой	Отличная вкусная каша! Привезли тёплой !
Блинчики с курицей и сметаной 	Очень вкусные блинчики в это раз как домашние!
Паста «Фетучини» с курицей и соусом «Песто»	Не вкусно, еда как из самолета. Все плавает в масле.
Большая порция сырников с малиной	очень вкусно 😋
Большая порция сырников с вишней	Сырники отвратительные. Каша в форме сырников. Привезли размокшими, влажными и чуть теплыми(
a.py	random.shuffle(all_data)
ПАПА Бургер	Потрясающий бургер! Насыщенный идеальный вкус. Да, иногда бекон 🥓 сложно откусить из-за жилок, но это не омрачает удовольствия от вкуса этого бургера. Булка мягкая, хрустящая. Горчичка, солёный огурчик, салатик... Вы не пожалеете! 🤤 Король бургеров! 👑
Салат куриный BBQ	Вкусный
Салат с северной креветкой и авокадо	С нарисованной картинкой салат не имеет ничего общего ))) и где только настолько мелкие креветки отыскали , ну и авакадо мало . Руккола одна )
Хот-Дог мясной	Сочный,но для меня солёный.
Суп Куриный, 300 г	Один маленький кусочек курицы на огромное количество макарон, ещё и пересолено.
Паста Карбонара, 290 г	Невкусно.Бекон старый,пересолено.
Мама бургер с голубым сыром и вишневым вареньем	Жалею, что заказала, не посмотрев отзывы. Начинки очень мало. Внешний вид даже не рядом с тем, что на фото в карточке товара. Просто булка и котлета. Соуса очень мало. Вкус плоский, не сбалансированный, не хватает свежести и сочности.
Блинчики с печенью и яйцом	Отвратительно! Печень старая, на вкус ужасно несвежий жир какой-то
Панкейки банановые с клубникой и сгущенным молоком	Не вкусные. Вкусным было только сгущённое молоко
Большая порция сырников с вишней	очень сладкие
Бургер куриный «Цезарь»	Плохо буквально всё. Приехал холодный. Огромные куски булки, сухой кусок курицы посередине, соусов практически нет, овощи еле просматриваются. Продукт из серии «больше никогда»
Вареники с картофелем и грибами, 245 г	Вареники, как вареники. В целом не плохие.
Злаковая каша с ягодами 	Невероятно вкусная каша, свежие ягоды!
Вок с морепродуктами	Лапша совершенно отличается от фото. Порция небольшая, морепродуктов дай бог 3 шт на всю порцию. Моркови больше, чем морепродуктов)) добавила 1 звезду за вкус. А так обычные макароны с зажаркой и без морепродуктов
Большая порция блинчиков с курицей и сметаной	Пришли холодными. Вкус хороший. Не жирные
Котлета из щуки (2 шт.) с картофельным пюре	Очень вкусно! Привезли горячим! Здорово!!!!
Бургер с говядиной BBQ	Ожидала больше от продукта с таким рейтингом, но в целом очень даже не плохо.  Правда приехал холодный. Булка и правда сладкая, но когда ешь бургер целиком- этого совершенно не чувствуется и даже очень неплохо сочетается с котлетой и овощами.  Снизила одну звезду за бекон.  Вот прям хочется что бы он был все же поджаренный, а не полусырой.
Панкейки банановые с клубникой и сгущенным молоком	Ужасное блюдо, капля сгущенки, полугнилой банан, половинка клубники от силы. Панкейки вообще отдельная история, они настолько жесткие что их было проблематично проткнуть вилкой. Больше смахивает на сухой пряник, выброшенные деньги на ветер,никому не советую
Картофельные дольки с сырным соусом	Просто ужасный вкус. Картошка безвкусная, без соли. Сырный соус масляный. В общем , отвратительно. Не советую от слова совсем
ПАПА Бургер	Раньше они большие были...А сейчас 2 раза меньше сталоСтавил 5 звёзд а теперь 1
Бургер с говядиной «Капрезе»	Ужасный от слова совсем. Сухой не понятный на вкус. Привезли холодный, соуса практически нет. Очень не понравился откусил один раз и то не съел в итоге все в мусорку. Очень интересно повар сам то пробовал его на вкус?!
Молоко сгущенное цельное с сахаром 30 г	Сладко)))
Салат с томатами черри и мини моцареллой	Отличный салат! Моцареллы, действительно, много. Очень вкусный соус Песто. Однозначно, буду заказывать ещё. 👍👍👍
Блинчики с творогом	нормальные блины, без нареканий, но и без эффекта вау
Омлет с ветчиной и томатами	Очень вкусный омлет!Порция большая,кажется,что рассчитана на двоих.Привезли горячим
Суп Куриный, 300 г	Постоянно заказывала этот суп, всегда был легкий бульон, почти без специй, крупные кусочки курочки, плоская лапша. Сегодня привезли совсем не то, воняет отвратительно, специй тонна, мелкие кусочки, ошметки курицы, круглая лапша, похож на суп куринный с домашней лапшой, который не в горячей еде.
Сырники с малиной и сметаной	Вкусные
Вок с овощами	Впечатлений особых не произвело. Много лука, соли.
Суп Солянка сборная с каперсами	К сожалению рецепт далек от классической солянки: мяса мало, недостаточно кислинки, но бульон наваристый
ПАПА Бургер	Оххх, разрезал я эту ***** ножом и съел. Котлета - съедобная. Салата реально дофига. Сыр тоже прикол. Честно, я бы крайне не советовал кому-либо есть этот бургер. Серьезно подумайте. За эти бабки сварите себе макароны и какого-нибудь мяса найдите. Реально лучше и полезнее
Блинчики с вишней и шоколадом	Неплохое сочетание вишни и шоколада. Не переслащено. Начинка не вытекает)
Деревенский завтрак	Доставленный продукт не соответствует заявленному составу (не положили бекон).
Салат с бужениной	Для меня ингредиенты не очень хорошо сочетаются друг с другом. Но в целом салат неплохой.
Кукуруза гриль с сырным соусом	Сначала заказала , потом начала читать отзывы , уже насторожилась, может мне повезло кукуруза как на картинке , соус сырный хороший , порция конечно маленькая , это по сути одна кукуруза ,но по весу и фото это было ожидаемо , привезли тёплую
Суп Куриный, 300 г	Суп хороший , только чуть переварили
Картофельные дольки с сырным соусом	Все как в предыдущих отзывает, жаль не почитала до заказа, думала картошку невозможно испортить. Сухая , не первой свежести, ощущение что просто старую сухую картошку разогрели и даже соли не добавили, соус не сырный а какая-то гадость. Не смогла есть
Бургер с говядиной «Капрезе»	Бургер не особо вкусный, нет сочности, соуса Песто было через чур много
Плов по-узбекски с говядиной	Очень мало мяса
Блинчики с курицей и сметаной 	Уже несколько раз заказывала эти блинчики, но они приехали холодными. Курьер опоздал. И сметаны не было, эх. ВкусВилл
Каша рисовая с бананом и персиком	Не съедобная.
Сырники с малиной и сметаной	Сырники плавают в масле, в целом масло перебивает вкус. Прогорклые
Котлета куриная с беби картофелем	Просто отправительно!!! Котлета как пенопласт есть не возможно !! Все в помойку
Штрудель с вишней и черной смородиной	Шикарно, ягод не пожалели. Но очень кислый. Возможно, мне просто не повезло ( но штрудель понравился
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	👍🏻
Большая порция сырников с вишней	Обожаю эти сырники ))
Набор: Суп куриный + Паста «Карбонара»	Съедобно, но. Бульон в супе пахнет плохо (как из дешёвой курицы второго сорта), жидкий, невкусный.От карбонары одно название. Макароны сухие, соуса почти нет, бекон не подкопченный (и невкусный) , зелени нет. Даже вкуса карбонары нет. Это просто одна лапша с обжаренными тонкими ломтиками мяса
Сосиски куриные со спагетти	Сосиски совершенно безвкусные
Крок-Бекон	Это очень вкусно, единственное не понравилось, что масло много сверху.А так отличный сэндвич, вкусный бекон с сочетанием с сладким соусом барбекю 👌
Вок с морепродуктами	Морепродуктов было очень мало, ну совсем мало на такую порцию лапши…
Суп «Рассольник» курицей, 300 г	Густой, вкусный, непересоленый
Котлета из щуки (1 шт.) с картофельным пюре	Взяла дочке на обед, сказала, что вкусно, котлетка как в садике 👍🏻😁
Котлета куриная с беби картофелем	Не вкусное. Картошка сухая и не хватает соуса. Котлета странная 🌝
Салат Цезарь с куриной грудкой гриль	Самат привезли холодным. Томаты в салате были совсем не свежие, пришлось отложить салат и ужинать другой едой. Возвращать средства за товар мне предложили только после того, как я верну этот салат сама в магазин . Возможности такой не оказалось, поэтому сервис полностью решил закрыть дело.
Бургер с говядиной «Капрезе»	Горький, приехал холодным... Вкус вообще плохой
Равиоли с сыром пармезан и шпинатом, 245 г	Очень вкусно
Паста «Фетучини» с курицей и соусом «Песто»	Ну очень дорого ,за такую порцию макарон плавающих в масле 😵‍💫
Салат с северной креветкой и авокадо	В салате креветок стало очень мало, заказывать не буду. Когда он только появился месяц назад, креветки были основным ингредиентом, а сейчас одна трава.
Гранола «Ореховая» с персиком и малиной	Фантастика! Оооочень вкусно:) Мы с сыночком заказываем каждую субботу! Обожаем нашу традицию! Спасибо)
Соус «Барбекю», 30 гр.	Вкусный невероятно!
Вок с курицей	👍🏽👍🏽👍🏽👍🏽👍🏽
Салат с северной креветкой и авокадо	Просто супер! Немного брынзы и оливкового масла. Соус не кладу.
Салат Цезарь с куриной грудкой гриль	Огромный кусок курицы, самого салата мало и положили много белых жестких салатных обрезков. Свра практически нет, очень мелкий. Сухари мизерные и без вкуса. Соус на любителя и его мало, он плотный
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Как обычно - нет сухариков в наборе
Драники картофельные с цукини и соусом	Первый раз были вкусные, второй раз - сухие и пережаренные
Круассан с ветчиной и сыром, 160 г	Вкусный. Первый раз заказала. Привезли тёплый, даже не разогревала
Щи с мраморной говядиной, 300 г	Вообще очень нравится этот суп, но в последний раз привезли одну воду! Деньги вернули, но больше заказывать не хочется, так как можно прождать и остаться без обеда
Хот-Дог Классический	Понравилось, вкуснее чем в стардоге и на заправках
Бургер с говядиной BBQ	В этот раз приехала идеальная версия бургера!!! Спасибо!!!!!
Лазанья Болоньезе	На мой взгляд не вкусная, визуально не красивая. Понравился аромат.По вкусу пересолили, кислит. Да, можно получить в ответ это вкусовщина, но когда Вы увидите разваливающиеся пласты из теста, малое содержания сыра и мяса, отсутствия сливочного вкуса, получите разочарование. Практически за 500 рублей и этакое качество так себе удовольствие. На остатке изжога. Возможно мне не повезло.
Набор: Суп куриный + Паста «Карбонара»	Не понравилась карбонара, это не карбонара а макароны с беконом и сыром, суп нормальный
Омлет с брокколи	Вкусно , но калорийность думаю выше указанной тут. На диетическое блюдо не похоже точно
Не «мясная» пита в белом	Соус забыли
Каша овсяная с бананом и голубикой	Первый раз заказывали было очень вкусно и много банана и голубики. Сегодня заказали. Фруктов очень мало
Суп грибной, 300 г	Суп по вкусу на троечку. И не понятно, зачем его привезли разогретый. Брала его для завтрашнего дня на работу. Пришлось остужать!
